Location,Latitude,Longitude,Business,id,Business Latitude,Business Longitude,Business Category,Likes
Bucktown,41.926897,-87.676661,Vienna Beef Factory Store & Cafe,4b2fc693f964a520b0ef24e3,41.92613596806364,-87.67765075169113,Hot Dogs,89
Bucktown,41.926897,-87.676661,CRĪO,5355d7bb498eeed72bc2a0b7,41.927030215037654,-87.6720636738464,Latin American,34
Bucktown,41.926897,-87.676661,Taco Bell,4a7bbb8ff964a520b7eb1fe3,41.92857738341024,-87.67329644694216,Fast Food,111
Bucktown,41.926897,-87.676661,The Bristol,49ebe3cbf964a5203f671fe3,41.921222830216244,-87.67775783701444,New American,229
Bucktown,41.926897,-87.676661,Asian Cajun,56b2b238498ec9031ecf5c13,41.926061040342056,-87.66843413980497,Seafood,17
Bucktown,41.926897,-87.676661,Rapidito Colombian Gourmet Bites,52db3654498ed2f60bcd75b3,41.932009,-87.6748,South American,7
Bucktown,41.926897,-87.676661,Popeyes Louisiana Kitchen,4b4007b2f964a52082b425e3,41.924845113572324,-87.67747336651581,Fried Chicken,22
Bucktown,41.926897,-87.676661,Subway,4c1a46e83b2ab713fef13225,41.92587231947368,-87.67296560669789,Sandwiches,1
Bucktown,41.926897,-87.676661,Cook Au Vin,4c00653f34ccc9287c8ce1cd,41.92258365283513,-87.67402895747122,French,9
Bucktown,41.926897,-87.676661,Panda Express,4dd867bb52b1a5c64465f963,41.92699440973743,-87.67345006716221,Chinese,33
Bucktown,41.926897,-87.676661,SUBWAY,4b89939ff964a5202e4332e3,41.924870814973225,-87.67655977620655,Sandwiches,2
Bucktown,41.926897,-87.676661,El Presidente Restaurante,4ab6ed8ef964a5207f7920e3,41.92869211997064,-87.66823578546776,Mexican,34
Bucktown,41.926897,-87.676661,The Breakfast Lounge,55fd7894498e141bd77e5d58,41.9249565932554,-87.6690199737506,Breakfast,11
Bucktown,41.926897,-87.676661,Wendy's,4a777040f964a5207ce41fe3,41.92375837206196,-87.66866780360033,Fast Food,53
Bucktown,41.926897,-87.676661,McDonald's,4b5a5337f964a52053bd28e3,41.92476161797875,-87.67192616129017,Fast Food,25
Bucktown,41.926897,-87.676661,Domino's Pizza,586e106952893005f6e3dd90,41.925386,-87.66934599999998,Pizza,1
